Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
Bruška,11,8298,12,12,3,10,7,116,18,3,1
Saint-Lazare Prison,8,16211,52,22,9,77,49,2082,347,8,7
Yamil Romero,4,18472,19,14,5,43,25,319,59,5,0
Beqaasem,5,16358,273,235,9,19,15,310,50,4,1
Toona ciliata,22,230545,91,257,48,176,97,3659,606,11,8
List of minor planets: 42001–43000,23,52738,170,207,2003,106,29,867,147,15,123
1743 in France,2,11532,933,631,1,7,6,36,7,7,0
Neno (footballer),11,59605,8,34,0,4,2,151,29,6,0
Horn District,32,11271,138,75,18,38,32,308,45,2,2
Stagecoach,37,1206896,617,1800,33,784,439,17335,2859,23,15
Julien Vrebos,2,5221,28,6,13,17,12,1151,194,6,0
Curro Torres,26,96105,369,248,42,405,177,3850,657,11,0
Ikeja,31,390859,363,497,48,357,190,4232,681,10,3
"Crawford County, Illinois",42,114104,423,1415,41,185,114,3461,590,18,2
Füssen,57,452237,184,577,28,290,187,3582,606,11,3
"Browning, Illinois",22,16246,74,39,10,83,52,1833,320,4,1
Zvonimir Lončarić,2,8560,22,18,9,46,24,393,65,3,1
Aldo Rizzo,4,5995,22,11,6,22,15,922,167,5,0
3-Oct,191,1135262,1057,1911,42,3559,1883,129,27,16,9
Wish U Were Here,1,35086,112,91,5,51,39,619,109,7,0
Alar Karis,45,232443,600,443,30,172,89,1932,327,8,0
List of governors of New Hampshire,9,142912,774,271,180,326,167,1042,176,5,3
Alar Karis,45,232443,600,443,30,172,89,1932,327,8,0
List of governors of New Hampshire,9,142912,774,271,180,326,167,1042,176,5,3
Zinc nitrate,25,387293,183,180,15,167,116,1019,159,5,2
To Heal a Nation,3,8749,12,13,4,16,12,407,77,4,0
COVID-19 pandemic in Malta,16,401042,1636,1802,97,2291,194,10544,1762,14,19
Aguada de Guerra,4,4929,22,8,17,18,14,562,96,5,0
Neil Road,1,29928,81,52,4,40,28,1418,249,4,0
SM Entertainment,42,3880048,591,2164,286,10586,4283,27541,4526,29,34
Expert witness,23,591717,356,776,37,578,296,18916,3050,35,13
Galway West (Dáil constituency),5,70579,274,303,107,372,113,1337,221,36,4
WWE Brand Extension,12,263424,2,879,0,3,3,23968,3794,11,0
A Modern Monte Cristo,2,2800,18,10,1,10,7,210,39,5,1
Japanese Grand Prix,41,992294,316,601,95,795,372,29477,5108,19,1
Belgian chocolate,9,679741,185,178,6,208,114,6084,925,13,5
Artificial island,42,1087740,177,575,53,626,381,17249,2680,21,8
Zhou dynasty,89,2744898,678,1984,58,4526,1985,22694,3689,24,34
"Oro Valley, Arizona",33,335020,341,323,54,670,282,20703,3391,25,6
Diocletian,81,4327846,655,3223,133,3823,1454,68507,10764,35,12
Dychko,0,2281,7,1,0,7,3,61,10,1,0
Evolutionary biology,60,1097005,847,4124,75,876,496,14464,2187,18,12
Seine-Maritime,92,280708,234,1736,23,326,214,2098,333,16,7
List of Royal Air Force schools,0,63244,803,1256,1,133,42,536,92,12,1
Giganotosaurus,45,3266789,581,644,105,1496,490,31484,4895,13,3
"Tawas City, Michigan",29,119832,199,203,20,237,123,6316,1107,17,6
Mark Pavelich,14,435758,94,86,51,279,169,4529,772,13,1
Lesbian feminism,30,511833,905,1924,120,676,314,32640,4926,27,6
Renato Sellani,5,13025,33,25,15,27,12,720,115,4,1
Terminalia chebula,34,880131,145,175,42,315,188,3264,510,8,21
Soundwave (app),0,5567,21,11,23,83,38,1421,229,5,5
At the Beginning of Glorious Days,10,12975,63,34,4,84,26,916,158,5,0
Alan Hutton,34,807650,139,224,75,2005,935,10523,1792,20,3
Ye Zhengda,3,12272,39,11,10,43,11,2001,326,5,0
"Cane Creek (Butler County, Missouri)",0,4034,29,5,6,8,5,1247,208,2,0
National Association for the Advancement of Colored People,36,1713450,9,1886,0,2,2,33252,5136,26,0
Jaws (franchise),5,1513777,312,111,97,978,402,29943,4960,33,5
Josefina Wettergrund,3,6742,28,13,6,44,23,850,143,5,0
Da One That Ghost Away,2,78552,64,49,4,114,53,338,65,5,1
Clausura 2017 Copa MX final,0,57,287,3,17,55,15,2506,419,8,1
"North Star, Delaware",28,32863,187,167,33,83,52,2491,420,6,1
An Emissary of No Return,1,27381,90,33,18,70,22,11340,1958,12,2
Clausura 2017 Copa MX final,0,57,287,3,17,55,15,2506,419,8,1
"North Star, Delaware",28,32863,187,167,33,83,52,2491,420,6,1
An Emissary of No Return,1,27381,90,33,18,70,22,11340,1958,12,2
Villiers-le-Bois,33,6924,472,441,14,53,31,117,16,4,0
Ishikari Province,17,15596,143,123,6,41,35,470,63,6,1
Krailling,39,29749,68,53,14,38,28,77,13,3,1
South China Morning Post,27,1872900,236,5051,211,1105,448,23467,3805,20,21
Deb Matejicka,0,15816,20,9,6,67,51,767,118,3,0
Ibrahim Boubacar Keïta,57,584133,138,243,78,406,202,10801,1729,7,5
Roman Catholic Archdiocese of Perugia–Città della Pieve,14,6432,102,45,26,80,41,1156,181,9,30
Indianapolis metropolitan area,6,398117,897,567,31,595,205,7299,1043,29,20
Langer Heinrich (crane vessel),2,N/A,544,16,11,48,15,4842,836,7,4
Alice von Hildebrand,15,198471,292,275,46,181,123,3371,551,8,4
Lamprell,0,67909,29,5,21,146,37,2868,457,5,0
United States House Science Subcommittee on Energy,1,23133,118,47,13,75,31,853,120,8,4
Great Glen,33,338273,44,271,9,157,118,2327,403,3,5
Eva Henning,12,29856,53,51,17,81,43,1028,180,7,0
Tanchangya script,1,15198,585,400,1,30,19,2211,366,7,2
John Jacob (East India Company officer),4,42939,74,25,26,154,87,7008,1190,10,4
Rammaka Mathopo,0,2133,78,67,3,12,9,222,42,2,0
Salon-de-Provence,54,230044,239,365,30,267,141,3168,504,18,4
Joseph Arshad,6,16337,38,18,16,71,27,2801,453,4,1
"Langston, Alabama",31,29344,87,60,13,117,62,3555,612,6,2
Angolan kwanza,65,337695,249,238,60,512,308,3655,623,23,7
Bernardo Enrique Witte,5,19150,9,9,2,17,11,350,61,2,1
Padding (cryptography),9,751812,293,272,24,244,145,15410,2584,19,2
Marchais-Beton,30,6420,29,9,9,41,27,192,29,3,0
Ghosts of Girlfriends Past,30,1766167,178,201,18,570,362,5929,1012,12,1
Highfields Lake,1,7182,38,27,11,54,30,625,108,2,1
Brachyiulus pusillus,2,10243,35,4,17,24,11,599,100,3,0
"Hacıahmet, Mustafakemalpaşa",4,740,148,63,1,2,2,84,15,2,1
Florentine bronze,0,13344,17,3,13,19,15,855,137,2,0
Employee,23,480309,14,749,0,7,6,25860,3999,42,0
George Preston,0,11071,28,22,1,11,8,2324,406,6,1
Thomas Cairns,1,6691,21,9,2,52,21,1091,181,7,1
"Morgantown, Kentucky",32,78370,238,275,28,188,118,5087,879,11,8
Burton Ridge,0,8415,14,4,2,14,13,716,113,1,0
Tony Rutter,6,52967,31,44,12,51,31,1324,245,4,0
I-94 derecho,1,16622,23,11,1,47,33,2072,337,4,1
El Soler (Graus),2,968,14,2,4,2,1,172,33,3,0
Burton Ridge,0,8415,14,4,2,14,13,716,113,1,0
Tony Rutter,6,52967,31,44,12,51,31,1324,245,4,0
I-94 derecho,1,16622,23,11,1,47,33,2072,337,4,1
El Soler (Graus),2,968,14,2,4,2,1,172,33,3,0
C.F. Monterrey,41,2141675,556,1524,70,5119,2043,30520,5192,40,10
Olle Hellström,2,8783,22,24,3,23,19,237,39,3,1
Kids (movie),18,5402,1,3,0,1,1,10071,1703,11,0
"St James's Church, Abinger Common",0,8716,37,47,5,25,10,1710,300,6,0
Ana Acuña,3,6848,54,38,3,29,16,246,40,3,2
Purple Mountain,15,90930,14,11,0,36,15,29,5,5,2
Lingewaard,34,32847,166,93,16,211,100,2089,312,11,0
P-Rock,0,31301,112,57,13,103,71,3093,515,7,1
The Citadel (1960 miniseries),1,1585,5,2,0,1,1,497,81,5,0
Lucía Topolansky,16,271198,64,80,14,161,95,1951,324,8,1
Convention for the Protection of Individuals with Regard to Automatic Processing of Personal Data,2,14892,36,5,16,63,35,879,133,4,2
Mill of Mains,0,1089,66,33,8,20,3,1384,242,5,0
Rafflesiaceae,44,88081,569,526,55,137,82,4946,754,9,0
Templemars,35,19444,695,670,14,56,37,198,31,5,0
Zbigniew Andruszkiewicz,2,4010,11,5,2,6,5,142,24,2,0
Franz Weselik,10,9213,94,114,4,38,31,250,45,5,0
Moshio salt,0,8997,84,139,1,15,7,804,140,3,0
Luiz Felipe Scolari,56,1805181,1660,1180,81,2345,1212,13287,2252,31,8
Nouvion-et-Catillon,40,9558,837,811,12,62,34,139,18,4,1
Northern Maramureș,3,11854,434,83,20,272,109,13986,2165,19,17
Khaya,19,156691,342,432,33,77,55,1292,215,5,0
Gina Rinehart,24,1720837,128,211,147,1443,604,20321,3230,12,1
"Barry, Illinois",27,37950,123,114,13,172,97,1881,342,9,3
Araeopaschia demotis,4,5357,27,5,11,11,11,146,27,2,1
Miraculous: Tales of Ladybug & Cat Noir,39,10400818,516,911,159,5207,1816,19129,3110,27,18
Kimmeridge clay,5,8646,6,28,0,2,2,1627,250,20,0
Franz Weselik,10,9213,94,114,4,38,31,250,45,5,0
Peyrieu,42,10450,430,404,8,82,50,255,46,4,0
Two-Faced Woman,19,152633,98,110,8,203,109,9373,1559,8,0
Volgograd State University of Architecture and Civil Engineering,1,12897,13,11,9,19,18,241,36,3,0
Treehouse of Horror XXIX,10,158739,147,82,7,150,88,5804,987,9,3
Hung Hom (constituency),2,5149,49,34,3,17,8,178,33,5,0
Miss Earth Venezuela 2006,0,7985,26,34,4,18,11,407,67,6,1
Dittingen,28,11338,88,31,39,49,36,8992,1531,11,4
Isaac Pratt,0,1651,81,46,1,8,5,322,58,2,0
Tony Romo,19,13031409,541,961,426,4549,2066,36246,6192,36,4
Karunagappally,8,25277,1,375,0,44,17,8368,1153,14,0
Closure of Catharsis,1,9281,12,6,9,49,24,2074,344,5,1
Toad (Nintendo),26,1121949,212,414,108,2998,1359,24004,4156,13,20
Robert Montgomery,31,31406,30,49,0,82,49,49,8,6,5
Venice and Dalmatia,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pooh's Heffalump Movie,25,591738,421,499,12,1205,607,7242,1244,13,1
"Pawłów, Lublin County",8,4274,38,28,5,14,9,192,29,2,1
Paul Reiser,34,6708931,153,386,45,979,605,6567,1110,9,4
Modestus (bishop of Trier),7,2252,24,7,10,49,39,329,58,3,4
Mirza Bashir Ahmad,1,125952,94,25,8,146,75,721,127,3,0
Isaac Pratt,0,1651,81,46,1,8,5,322,58,2,0
Tony Romo,19,13031409,541,961,426,4549,2066,36246,6192,36,4
Hongqi S9,4,28117,26,10,6,40,19,852,153,4,0
Knuckle-walk,7,804,1,0,0,2,1,13036,1933,9,0
Boxholm Municipality,34,15508,70,80,8,62,45,1075,179,6,1
We Are Number One,10,849070,58,112,18,807,488,6231,1021,9,4
Montserrat national football team results,3,13248,240,86,23,138,58,3042,502,8,1
Primary fissure of cerebellum,0,41645,72,74,8,20,15,339,55,5,5
Belum,32,40216,86,52,9,43,30,825,134,4,0
Hassan Al-Jundi,6,84786,11,12,2,117,48,1172,199,5,1
Paul Reiser,34,6708931,153,386,45,979,605,6567,1110,9,4
Modestus (bishop of Trier),7,2252,24,7,10,49,39,329,58,3,4
Mirza Bashir Ahmad,1,125952,94,25,8,146,75,721,127,3,0
PalaOlimpia,2,12326,21,31,3,18,15,270,44,3,0
Kanichi Yamamoto,0,9620,3,12,4,44,25,296,49,3,0
Clash of the Titans,29,97944,13,52,0,86,56,33,7,2,5
Intel Xe,7,514956,175,300,60,215,84,8878,1411,22,6
Rodelinghem,36,10950,925,901,12,53,30,207,30,6,0
John George Bartholomew,11,41358,61,69,36,122,70,2590,419,5,2
Kleinbösingen,23,6512,88,45,38,45,31,7472,1256,11,11
Luminex Corporation,2,151299,10,309,6,120,69,1277,173,4,0
Tektronix hex format,0,10619,41,67,33,56,20,579,89,7,60
The Little Mermaid (1989 movie),103,2902,1,2,0,3,3,36077,5918,28,0
WrestleMania 23,22,2443325,667,740,61,6417,1926,26638,4452,15,20
Apollo 8,61,3081652,1027,1523,136,2540,1014,48398,8089,27,4
Cosmopolitan (magazine),38,2194540,323,3396,98,1363,862,18812,2911,20,22
"Ocoee, Florida",34,317702,420,299,37,313,191,6107,1039,14,4
Charles O'Connor Hennessy,1,9323,17,6,5,44,20,1078,188,3,0
Haruhiko Kataoka,2,10615,48,5,4,22,16,1132,193,4,0
Nikki Sixx,29,12776223,330,454,139,2892,1624,20253,3424,18,15
Kleinbösingen,23,6512,88,45,38,45,31,7472,1256,11,11
Japanese ship Hayashio,1,2445,10,5,0,6,2,58,10,1,1
Rillington railway station,0,16941,25,28,8,81,29,3056,515,5,0
COVID-19 pandemic in Trinidad and Tobago,13,201682,1635,1732,59,422,89,4664,754,15,13
76.1 FM,0,22886,663,336,3,22,15,64,9,4,0
Fajac-la-Relenque,39,10463,476,442,13,54,31,154,22,4,0
Ernst Ocwirk,21,52716,281,266,12,100,78,3644,630,8,1
Cyril Lawrence,5,18133,22,20,5,39,22,1055,176,2,0
Thimble jellyfish,4,55468,49,21,17,39,21,2544,408,6,2
Vulnerable area,3,212921,154,56,32,183,64,6683,1029,11,4
List of members of the National Academy of Engineering (Earth resources),1,10383,204,4,1,27,16,364,58,3,0
Fort-Liberté,25,77440,252,283,22,184,105,8534,1448,11,8
Byōbugaura,2,11751,50,9,12,28,17,3357,555,8,1
"Brighton, Michigan",26,293991,159,549,36,766,366,5733,953,16,4
Glossary of mathematics,6,26268,26,25,0,63,16,265,40,11,0
Squirt boating,1,52983,141,226,17,121,88,1898,333,7,2
Värnamo FK,3,4802,4,6,2,9,7,143,24,3,1
Kumiko Yashiro,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mitzach,37,9632,404,377,10,46,31,140,20,3,0
Söderköping Municipality,33,13503,92,93,27,80,49,1391,222,7,3
Anolis monensis,7,1461,34,7,13,6,5,135,26,2,1
"Campbell County, Tennessee",41,161410,344,414,32,270,144,6743,1114,20,5
Push–pull output,10,720812,54,67,9,240,127,12439,1983,14,5
"Dauphin Island, Alabama",32,698101,191,200,38,408,233,11699,1998,16,5
Stiphodon annieae,0,6596,25,2,4,20,15,333,58,2,0
Chiaroscuro,47,2720234,184,1039,28,971,502,14410,2225,14,11
Fourneville,40,21185,570,541,12,66,40,142,19,5,0
Pelham Humfrey,12,34231,42,80,29,96,53,1908,343,6,1
William Alfred Fowler,64,179560,446,808,104,319,196,3311,525,9,5
Anolis nicefori,6,765,32,3,11,2,2,138,23,2,1
Châtonnaye,23,8234,90,46,35,48,28,8002,1338,11,7
Lee Hoi-chang,18,67213,214,204,34,194,109,4033,644,6,11
Schwandorf (district),43,40762,181,341,11,82,56,1054,165,9,2
Iskander Makhmudov,10,172451,162,119,28,210,117,8186,1239,21,0
Aghjivan,10,5318,210,188,7,6,5,264,40,2,2
Boadilla del Camino,35,9513,221,203,14,34,25,284,47,2,3
"Snyderville, Utah",17,26702,69,45,4,64,43,2247,394,7,3
Electoral district of Wakehurst,1,46040,530,440,16,81,43,1720,298,6,1
List of amphibians,12,632863,195,24,5,216,135,1279,194,14,1
20-Dec,188,813959,962,1765,74,2854,1574,131,27,16,9
Anolis nicefori,6,765,32,3,11,2,2,138,23,2,1
"Hickory Grove Township, Warren County, Missouri",1,5261,51,41,5,6,5,296,47,2,1
Leo the Last,8,71318,49,66,3,86,56,4349,724,8,1
Valdiram,3,13830,18,56,3,20,11,665,111,5,2
Malaysian federal budget,3,106994,208,197,67,38,14,4770,730,17,1
King of the Congo,3,36502,347,146,6,79,53,1924,325,9,1
1888–89 Accrington F.C. season,0,11262,73,45,0,26,12,419,77,9,3
iPad (4th generation),32,531,848,486,129,903,459,15046,2434,13,12
Manuel Uruchurtu Ramírez,4,65827,30,4,11,40,33,2961,508,4,0
Kostelanetz,2,3203,7,3,0,1,1,66,10,1,0
List of amphibians,12,632863,195,24,5,216,135,1279,194,14,1
20-Dec,188,813959,962,1765,74,2854,1574,131,27,16,9
"McClain County, Oklahoma",37,107916,365,501,30,256,151,8422,1388,18,2
"Grain Valley, Missouri",31,83512,136,115,29,223,132,4278,734,9,4
Mammoth Records,4,61812,193,206,53,370,147,6302,976,22,0
Mahmoud Riad,12,21772,37,92,23,94,60,1631,274,5,1
Pontiac Sunfire,11,626139,110,115,7,463,239,3233,575,5,0
Admiralty scaffolding,1,72044,273,253,22,97,37,2277,384,8,3
2023 Little Rock Challenger,3,N/A,148,99,1,15,1,485,80,8,0
ESC/P,5,N/A,51,48,17,76,55,1612,264,7,8
Edna Child,3,9588,62,57,16,49,28,3876,672,6,0
FC Astra Giurgiu,40,829480,672,939,77,2570,567,18174,3067,27,28
Automicrite,0,5513,28,9,6,58,9,4876,732,7,1
Ab Saunders,2,106156,71,17,4,49,28,5658,949,6,0
Phyllonorycter ruizivorus,2,4901,33,6,9,19,15,690,116,3,0
WayHome Music & Arts Festival,0,71818,195,30,6,97,44,2339,344,13,5
Tziarra King,0,28646,61,100,29,82,30,4916,838,11,0
Clockwork radio,3,26842,2,19,0,5,4,8418,1307,11,0
2010 TPG Tour,0,262,50,33,1,12,1,200,36,4,0
Turandot,49,3117222,325,1166,60,1352,648,23162,3911,18,2
Chum Bucket,5,15957,10,17,0,2,2,35,6,1,0
Condor,29,2712176,62,445,24,1128,674,5252,905,9,3
Overall equipment effectiveness,14,986059,33,73,23,533,303,9847,1622,14,3
Amir Ganiel,2,11052,14,13,3,36,20,633,104,6,0
"It's not you, it's me",0,82219,17,9,4,35,26,1936,333,5,1
List of Finnish writers,8,31728,367,154,1,122,35,26,5,27,1
Mini-skirt,49,19187,1,20,0,3,3,42120,6727,16,0
Good Behavior (TV series),8,737479,115,131,20,286,127,1902,303,10,1
Gustavo Pareja Cisneros,3,2853,27,5,12,64,15,3490,551,7,1
"Weedon, Quebec",6,20072,66,87,13,34,26,196,32,3,3
Sushil Kumar Modi,8,648865,225,378,41,497,245,4478,765,8,3
Hitlisten,13,113400,129,5796,20,169,73,545,85,9,6
Trouble (American Authors song),0,10902,44,19,5,42,27,1530,272,8,0
Transvaalbuurt (Amsterdam),2,22791,163,125,5,18,14,652,97,4,0
"Mount Pleasant, Green County, Wisconsin",11,8485,83,44,5,44,32,1782,325,5,1
Ennio Zanini,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Motherwellia,2,6794,38,9,31,40,30,160,27,2,1
Eva Gabor,33,6097183,142,287,39,1158,704,4644,791,15,3
Shooting of William Leonard,1,2059,7,12,2,29,13,1007,172,3,2
Foster's Home for Imaginary Friends: Imagination Invaders,1,14439,1,60,0,34,24,12497,2066,15,0
Tim Cook,61,10611161,536,1008,208,2781,1435,13911,2284,15,8
Joanna Kocielnik,2,6170,22,14,5,25,23,711,111,3,1
4th Robert Awards,2,8508,107,113,3,16,9,174,31,21,0
Hawkman,21,1714836,1064,1329,38,1220,625,18396,3074,24,7
Haystack (software),2,39490,27,16,18,83,51,1664,264,4,0
Andreas Reisinger,12,13255,129,94,3,50,44,736,119,6,0
Calopăr,18,6549,134,128,6,31,19,344,56,2,5
Mini Viva,3,110338,52,69,17,402,236,2867,497,8,4
UEFA Golden Jubilee Poll,15,129437,90,53,2,171,114,622,95,4,0
Megan Finnigan,3,23633,53,53,6,49,30,691,120,9,0
"Mulhausen, Bas-Rhin",40,15607,560,526,16,66,42,143,20,3,1
Skyscrapers (1906 movie),7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Praiwet Wanna,1,6901,36,4,18,43,21,237,43,4,0
Sévérac,33,12590,246,227,11,46,29,134,18,3,1
Kaala (soundtrack),0,45988,65,8,47,77,40,6486,1070,14,0
2021 Rock Hill shooting,3,269715,101,89,21,220,85,2448,408,6,2
Survivor: The Amazon,7,998875,129,252,57,1038,462,6438,1091,9,6
Perak,59,1101623,866,3811,543,2003,728,72894,11393,35,15
1991–92 FIS Ski Jumping Europa (Continental) Cup,1,5525,198,39,1,43,5,524,89,7,1
"Swan Hotel, Bradford-on-Avon",0,3896,9,4,3,9,6,303,46,3,0
Megan Finnigan,3,23633,53,53,6,49,30,691,120,9,0
Charles C. Pattillo,1,17918,52,11,6,54,35,5540,896,6,1
Indira Gandhi,125,21326763,1449,4071,330,7874,3794,92410,14611,54,19
One Day International,28,3728499,338,6879,80,1105,620,17511,2943,24,20
"River Tame, West Midlands",9,161276,205,418,50,362,121,9392,1542,16,3
Peak Wildlife Park,0,37505,133,96,7,81,50,1478,236,6,2
2020 AFL Women's draft,0,21117,302,126,82,158,18,2275,379,13,1
José Maranhão,6,15235,30,36,14,49,41,3088,526,3,2
"Perl, Saarland",33,44063,69,43,23,84,54,2303,383,20,3
Frank Quilici,2,42478,124,87,13,136,72,4516,773,5,1
"Plover, Iowa",28,14604,80,53,16,85,51,3261,578,8,2
Kareem Queeley,1,14483,60,22,12,20,12,1644,278,6,0
David Hellenius,4,58528,56,66,32,124,67,1699,288,7,2
Nana Bediatuo Asante,0,35959,16,10,7,24,16,883,141,5,0
David C. Jewitt,32,79013,333,365,32,309,120,11971,1947,12,4
Eilema karenkona,0,3387,24,5,5,12,11,122,24,2,1
Chun Yeung Estate,1,8120,290,234,25,17,5,3987,694,7,0
Ipís,6,2960,171,7,16,27,20,264,50,6,3
Szymon Czyż,6,19814,58,40,9,43,14,737,124,7,1
Edward Egerton,2,7749,30,17,2,41,22,751,125,6,1
Edward Egerton,2,7749,30,17,2,41,22,751,125,6,1
Road Dog Trucking,0,90426,343,284,17,96,61,2344,388,7,1
Brandenburgers,22,684545,150,508,11,875,284,16410,2503,12,8
Berosus (beetle),7,9827,100,29,26,43,25,286,46,4,0
Waffle Crisp,0,237578,57,71,25,168,125,1611,267,4,3
Dave Fortman,5,159786,83,121,25,181,111,3955,686,7,0
Isnilon Hapilon,12,481593,183,155,53,348,179,7030,1155,9,2
Ouilly-le-Tesson,38,22738,572,543,12,65,39,151,21,4,1
"East Brooklyn, Connecticut",21,10907,83,51,7,66,44,2199,388,4,4
Columbian Exchange,35,2289058,2,405,0,1,1,31645,5018,21,0
Clef,55,3763663,267,464,18,2273,1099,16475,2893,27,40
List of heads of government of Andorra,16,137742,228,270,3,214,114,542,88,5,7
John Alexander Finlayson,0,5410,8,5,0,12,12,409,71,2,0
Ryōgoku Bridge,5,17565,25,13,15,28,24,510,82,4,1
GloFish,17,992365,175,181,50,822,463,8022,1241,10,4
"Elsa, Texas",26,59674,134,102,25,165,109,3044,528,10,2
The Headless Horseman (1972 movie),15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Edmundson, Missouri",28,27780,197,162,13,112,71,4883,850,10,2
Jaroslav Holík (politician),1,1146,12,5,3,13,8,727,128,2,0
Ruby Barker,1,471769,36,23,26,93,30,2528,422,12,1
Moorish idol,35,544633,100,77,27,325,203,3558,563,11,12
"Ceres, Piedmont",51,15444,337,336,4,45,33,364,54,2,2
Uninterruptible power supply,48,4040658,122,437,58,2326,1212,28131,4496,28,24
HMS Spearhead,5,6547,109,77,1,45,31,1796,307,5,2
Mickey McGowan,1,9437,12,8,2,16,15,388,70,2,0
1894–95 Bristol & District League,3,5949,244,194,1,28,13,753,130,4,3
Rugby union in Gibraltar,0,34810,316,404,11,140,60,4629,775,11,3
Ora Namir,13,24667,97,97,11,82,46,2155,367,5,0
Gustavo Collini-Sartor,0,6186,24,8,14,28,23,1370,222,2,0
Johan Wilhelm Dalman,7,12503,35,95,14,36,30,1605,250,2,1
Jaroslav Holík (politician),1,1146,12,5,3,13,8,727,128,2,0
Ruby Barker,1,471769,36,23,26,93,30,2528,422,12,1
"Hempstead, Texas",35,178027,484,428,39,274,150,12406,2072,20,3
Roy Jenkins,30,942142,1519,2003,81,1160,551,64846,10447,16,8
Seyid Mirbabayev,3,5542,17,7,7,25,19,1908,310,3,0
Under Secretary of Veterans Affairs for Health,0,53140,36,60,15,52,32,1450,224,3,0
Kaori Nagamine,35,7570,105,107,6,54,19,1006,183,7,0
Inonge Wina,10,140131,57,84,12,158,78,3208,511,6,1
Fathi Jamal,6,15808,112,90,4,40,28,551,95,2,1
Clive Robertson (broadcaster),1,102348,87,40,8,180,99,2512,445,7,2
Emu,88,6588246,320,1412,145,2616,1208,39929,6695,20,18
Judicial activism,20,1080970,210,366,76,1708,707,15419,2404,17,24
Gunnar Dybwad (footballer),5,6760,21,22,5,28,19,528,97,2,0
Cârna,18,7918,135,126,16,28,16,187,34,2,2
Tennessee & Other Stories...,0,5764,12,3,7,17,8,419,78,4,0
Qazi Khan,6,9449,313,289,8,18,13,249,43,2,0
Wampanoag,28,998295,327,372,92,2170,1056,30037,4735,29,21
Randy Vulakovich,1,40778,22,28,17,85,52,1984,326,5,2
Ivo Banac,8,70548,80,233,67,197,94,4622,771,7,1
John William Turner,0,4981,31,11,7,24,17,1850,315,4,0
Sépeaux,30,4895,27,8,6,42,27,214,31,3,1
Tumulus,56,1698622,1163,3166,101,1140,581,32206,5267,55,17
Romelcia Phillip,0,554,14,20,3,8,7,315,48,4,1
Samy Faraj,1,12356,16,9,8,24,10,950,162,6,0
"Saint-Michel, Aisne",42,15118,846,814,18,78,40,191,24,5,1
Marcel Paquet,3,13732,81,13,36,42,28,5056,832,7,0
Elliot N. Dorff,3,45173,71,68,56,170,85,8633,1377,13,1
Alessandro La Vecchia,1,2935,19,5,5,13,10,87,15,2,0
Swiss Americans,7,213281,268,465,76,383,207,3783,597,14,5
Arrondissement of Le Vigan,28,8470,96,89,8,65,41,874,145,4,2
Kevin Covais,7,164764,102,99,24,714,340,3997,699,9,2
"Reñaca beach, Chile",8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dolly, Lotte and Maria",1,7681,20,6,3,44,19,1259,206,6,0
The Masked Singer (German season 7),1,30065,261,122,16,512,31,795,127,18,0
Manfred Bleskin,2,2531,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Štefan Ružička,9,19548,79,38,6,143,78,883,151,8,2
Estudiantil Porteño,8,22538,61,112,9,40,19,1169,178,5,2
Lucas Bracco,3,5630,18,4,3,28,19,946,153,3,0
Tawny Newsome,9,963542,70,59,22,114,66,1668,289,6,0
Germaine Mason,23,180841,147,105,13,182,117,1666,294,6,1
Arrondissement of Le Vigan,28,8470,96,89,8,65,41,874,145,4,2
Kizuna (Orange Range song),2,10314,24,10,11,49,36,253,48,2,0
Outlook on the web,10,797642,196,192,26,443,263,6605,1107,12,7
Lateralus,22,2292548,198,218,117,1693,908,11734,1936,18,15
Yairo,0,906,7,1,0,3,2,60,11,2,0
Elderberry Wine (song),1,51444,161,133,12,93,34,3133,527,5,1
Vespula vulgaris,36,542867,106,72,54,604,282,20306,3406,23,5
Former subdivisions of Pakistan,4,3589,1,3,0,1,1,4590,724,11,0
Fortress of Muxima,5,8048,200,142,3,30,24,1640,276,5,0
DNA repair,49,1942822,397,1533,399,1283,586,53691,8153,37,31
"Cullen, Louisiana",25,25512,63,43,11,111,62,1661,270,5,1
"Sulphur, Louisiana",35,326999,245,416,36,360,217,5448,885,14,6
"Kil, Kil Municipality",25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hans Cavalli-Björkman,3,12542,47,18,7,44,29,425,74,3,3
Parçikan (tribe),1,5410,88,80,8,26,10,1396,222,7,1
Villeneuve-sur-Yonne,36,34398,493,478,26,112,61,1000,171,10,0
Big Four (British railway companies),6,166550,100,119,11,62,45,6537,1022,11,3
Langkloof Mountains,0,8282,22,10,13,14,12,403,70,1,0
Michael Chaves,10,269262,38,53,19,155,35,1000,165,6,1
